Model (LALM),Method,Gap,Rel.,Gen.,,,,Audio Loc.,,,,,Text Loc.,Port.,,,,,,,,,,,
,,,,Avg.,Type 1,Type 2,Type 3,Avg.,Type 1,Type 2,Type 3,Type 4,,,,,,,,,,,,,
,,4,6.00 (9.66),6.00 (8.58),8.00 (10.33),4.00 (12.65),6.00 (13.50),30.57 (9.31),40.00 (9.43),32.56 (14.35),34.00 (16.47),16.00 (12.65),18.00 (14.76),10.00 (10.54),6,,,,,,,,,,
,,5,4.00 (8.43),3.33 (4.71),6.00 (9.66),2.00 (6.32),2.00 (6.32),21.24 (9.18),26.00 (18.97),30.23 (13.29),20.00 (13.33),10.00 (10.54),12.00 (13.98),8.00 (13.98),4,,,,,,,,,,
,I-IKE,0,10.00 (14.14),7.33 (8.58),10.00 (17.00),2.00 (6.32),10.00 (14.14),88.60 (5.40),94.00 (13.50),88.37 (11.74),94.00 (9.66),78.00 (14.76),54.00 (18.97),24.00 (18.38),10,,,,,,,,,,
,,1,10.00 (14.14),7.33 (9.66),12.00 (19.32),2.00 (6.32),8.00 (13.98),90.16 (5.73),96.00 (12.65),88.37 (11.74),94.00 (9.66),82.00 (11.35),48.00 (21.50),22.00 (19.89),10,,,,,,,,,,
,,2,10.00 (14.14),8.00 (9.32),12.00 (19.32),2.00 (6.32),10.00 (14.14),88.08 (5.56),94.00 (13.50),88.37 (11.74),94.00 (9.66),76.00 (12.65),48.00 (23.48),22.00 (22.01),10,,,,,,,,,,
,,3,10.00 (14.14),8.00 (9.32),12.00 (19.32),4.00 (8.43),8.00 (13.98),88.08 (4.97),94.00 (13.50),88.37 (11.74),92.00 (10.33),78.00 (11.35),48.00 (19.32),20.00 (21.08),10,,,,,,,,,,
,,4,10.00 (14.14),8.00 (9.32),12.00 (19.32),2.00 (6.32),10.00 (14.14),88.08 (6.09),92.00 (13.98),88.37 (11.74),94.00 (9.66),78.00 (11.35),46.00 (23.19),22.00 (22.01),10,,,,,,,,,,
,,5,10.00 (14.14),6.67 (8.89),12.00 (19.32),2.00 (6.32),6.00 (13.50),89.12 (3.80),94.00 (9.66),88.37 (11.74),94.00 (9.66),80.00 (9.43),46.00 (21.19),22.00 (22.01),10,,,,,,,,,,
,WISE,0,100.00,100.00,100.00,100.00,100.00,58.55,95.24,56.76,52.08,54.02,84.00,14.00,100.00,,,,,,,,,,
,,1,92.00,90.00,92.00,88.00,90.00,58.03,95.24,54.05,45.83,57.47,82.00,10.00,92.00,,,,,,,,,,
,,2,92.00,78.67,82.00,82.00,72.00,62.18,95.24,59.46,47.92,63.22,76.00,12.00,92.00,,,,,,,,,,
,,3,98.00,82.67,82.00,90.00,76.00,61.14,90.48,59.46,47.92,62.06,70.00,14.00,98.00,,,,,,,,,,
,,4,94.00,80.67,82.00,84.00,76.00,61.65,90.48,56.76,45.83,65.52,76.00,18.00,94.00,,,,,,,,,,
,,5,96.00,80.00,80.00,88.00,72.00,63.73,90.48,59.46,47.92,67.82,66.00,18.00,96.00,,,,,,,,,,
Audio Flamingo 3,FT (LLM),0,100.00 (0.00),94.67 (8.20),100.00 (0.00),98.00 (6.32),86.00 (18.97),82.90 (8.61),84.00 (20.66),65.12 (26.56),88.00 (13.98),92.00 (10.33),90.00 (14.14),24.00 (15.78),100,,,,,,,,,-0.6515963105,
,,1,82.00 (14.76),76.67 (17.85),82.00 (17.51),76.00 (20.66),72.00 (19.32),79.79 (7.06),80.00 (18.86),65.12 (21.92),86.00 (16.47),86.00 (13.50),90.00 (10.54),24.00 (18.38),82,,,,,,,,,,
,,2,78.00 (14.76),70.67 (18.38),76.00 (15.78),70.00 (21.60),66.00 (21.19),79.27 (8.62),74.00 (21.19),69.77 (24.49),86.00 (16.47),86.00 (18.97),90.00 (10.54),32.00 (21.50),78,,,,,,,,,,
,,3,72.00 (13.98),65.33 (16.27),70.00 (19.44),64.00 (18.38),62.00 (22.01),79.79 (8.40),72.00 (23.48),72.09 (22.51),84.00 (15.78),90.00 (10.54),94.00 (9.66),28.00 (16.87),72,,,,,,,,,,
,,4,70.00 (10.54),63.33 (13.05),72.00 (19.32),60.00 (13.33),58.00 (17.51),78.24 (7.26),72.00 (23.48),69.77 (20.34),84.00 (15.78),86.00 (13.50),92.00 (10.33),26.00 (16.47),70,,,,,,,,,,
,,5,60.00 (9.43),58.67 (14.67),66.00 (16.47),54.00 (16.47),56.00 (15.78),77.20 (6.95),74.00 (26.75),65.12 (17.00),82.00 (14.76),86.00 (9.66),88.00 (10.33),32.00 (16.87),60,,,,,,,,,,
,FT (Audio),0,100.00 (0.00),70.00 (18.39),100.00 (0.00),68.00 (27.00),42.00 (30.48),87.56 (9.34),88.00 (13.98),81.40 (18.11),92.00 (13.98),88.00 (10.33),100.00 (0.00),44.00 (20.66),100,,,,,,,,,0.9370425713,
,,1,100.00 (0.00),68.00 (18.00),98.00 (6.32),66.00 (25.03),40.00 (26.67),84.97 (9.40),86.00 (13.50),79.07 (20.66),88.00 (16.87),86.00 (9.66),100.00 (0.00),46.00 (23.19),100,,,,,,,,,,
,,2,100.00 (0.00),68.00 (17.72),98.00 (6.32),62.00 (23.94),44.00 (27.97),80.31 (9.63),80.00 (18.86),72.09 (22.37),86.00 (16.47),82.00 (19.89),100.00 (0.00),46.00 (23.19),100,,,,,,,,,,
,,3,98.00 (6.32),64.00 (17.83),92.00 (13.98),60.00 (16.33),40.00 (29.81),76.68 (8.55),80.00 (16.33),69.77 (24.32),84.00 (15.78),72.00 (23.48),100.00 (0.00),44.00 (20.66),98,,,,,,,,,,
,,4,98.00 (6.32),62.00 (16.64),90.00 (17.00),60.00 (13.33),36.00 (27.97),76.17 (8.92),78.00 (17.51),69.77 (27.18),80.00 (18.86),76.00 (18.38),100.00 (0.00),44.00 (20.66),98,,,,,,,,,,
,,5,94.00 (9.66),60.67 (15.85),86.00 (18.97),62.00 (17.51),34.00 (25.03),75.65 (7.65),78.00 (14.76),72.09 (23.48),78.00 (17.51),74.00 (16.47),100.00 (0.00),40.00 (23.09),94,,,,,,,,,,
,MEND,0,100.00 (0.00),94.67 (7.57),98.00 (6.32),96.00 (8.43),90.00 (14.14),86.53 (9.34),90.00 (10.54),74.42 (20.00),86.00 (13.50),94.00 (9.66),90.00 (14.14),26.00 (18.97),100,,,,,,,,,0.1215661348,
,,1,98.00 (6.32),92.00 (9.32),94.00 (9.66),94.00 (9.66),88.00 (16.87),82.38 (7.90),88.00 (10.33),67.44 (20.42),78.00 (17.51),94.00 (9.66),96.00 (8.43),26.00 (18.97),98,,,,,,,,,,
,,2,98.00 (6.32),90.67 (9.53),94.00 (9.66),92.00 (10.33),86.00 (16.47),83.94 (6.82),84.00 (15.78),74.42 (16.16),80.00 (18.86),96.00 (8.43),92.00 (10.33),30.00 (21.60),98,,,,,,,,,,
,,3,98.00 (6.32),92.67 (9.14),96.00 (8.43),94.00 (9.66),88.00 (13.98),81.35 (7.84),80.00 (16.33),72.09 (19.18),80.00 (18.86),92.00 (13.98),96.00 (12.65),28.00 (21.50),98,,,,,,,,,,
,,4,98.00 (6.32),92.67 (9.14),96.00 (8.43),94.00 (9.66),88.00 (13.98),80.83 (7.55),80.00 (13.33),74.42 (16.16),78.00 (17.51),90.00 (14.14),94.00 (9.66),26.00 (21.19),98,,,,,,,,,,
,,5,94.00 (9.66),85.33 (12.49),90.00 (10.54),84.00 (18.38),82.00 (17.51),80.83 (9.02),80.00 (18.86),76.74 (19.30),76.00 (20.66),90.00 (14.14),94.00 (9.66),26.00 (21.19),94,,,,,,,,,,
,KE,0,68.00 (13.98),72.67 (13.86),74.00 (13.50),72.00 (13.98),72.00 (16.87),52.33 (14.49),50.00 (28.67),25.58 (21.06),62.00 (23.94),68.00 (16.87),66.00 (18.97),24.00 (15.78),68,,,,,,,,,0.9526776821,
,,1,60.00 (24.94),54.67 (19.58),54.00 (23.19),62.00 (22.01),48.00 (19.32),39.38 (9.35),38.00 (31.90),20.93 (23.78),52.00 (21.50),44.00 (18.38),48.00 (19.32),20.00 (16.33),60,,,,,,,,,,
,,2,38.00 (17.51),30.00 (12.27),30.00 (17.00),34.00 (13.50),26.00 (13.50),24.87 (11.67),22.00 (17.51),20.93 (21.86),26.00 (21.19),30.00 (21.60),44.00 (18.38),18.00 (14.76),38,,,,,,,,,,
,,3,24.00 (20.66),26.00 (11.09),28.00 (13.98),30.00 (14.14),20.00 (16.33),22.80 (10.13),18.00 (17.51),16.28 (22.37),28.00 (19.32),28.00 (19.32),28.00 (13.98),12.00 (13.98),24,,,,,,,,,,
