Model (LALM),Method,Attr.,Rel.,Gen.,,,,Audio Loc.,,,,,"Text 
Loc.",Port.
,,,,Avg,Type 1,Type 2,Type 3,Avg.,Type 1,Type 2,Type 3,Type 4,,
,FT (Audio),ALL,100.00,76.08,96.67,74.00,57.58,90.24,96.92,78.56,89.33,93.25,100.00,49.50
,,Animal,100.00,59.33,91.00,55.33,31.67,96.08,98.67,94.67,97.33,93.67,100.00,46.33
,,Emotion,100.00,63.00,99.33,49.33,40.33,89.25,98.67,82.33,83.00,93.00,100.00,38.00
,,Gender,100.00,91.44,99.67,96.67,78.00,92.89,96.67,N/A,87.67,94.33,100.00,65.67
,,Language,100.00,90.56,96.67,94.67,80.33,83.42,93.67,58.67,89.33,92.00,100.00,48.00
,KE,ALL,100.00,98.89,99.92,98.75,98.00,81.38,91.50,55.78,78.50,93.33,95.83,31.92
,,Animal,100.00,99.22,99.67,99.67,98.33,85.92,92.00,70.00,90.00,91.67,93.33,28.33
,,Emotion,100.00,97.11,100.00,96.33,95.00,71.75,90.00,36.00,68.00,93.00,97.00,19.00
,,Gender,100.00,100.00,100.00,100.00,100.00,84.33,95.67,N/A,62.67,94.67,97.33,52.33
,,Language,100.00,99.22,100.00,99.00,98.67,84.25,88.33,61.33,93.33,94.00,95.67,28.00
,MEND,ALL,99.92,93.92,99.08,92.42,90.25,90.64,99.25,79.22,85.58,95.67,98.67,32.08
,,Animal,100.00,97.67,98.33,99.33,95.33,91.58,99.67,81.33,90.00,95.33,98.67,30.67
,,Emotion,100.00,87.44,99.00,82.00,81.33,84.42,99.00,70.67,72.67,95.33,99.00,17.00
,,Gender,100.00,93.56,100.00,90.33,90.33,93.44,99.00,N/A,85.67,95.67,99.33,53.67
,,Language,99.67,97.00,99.00,98.00,94.00,93.83,99.33,85.67,94.00,96.33,97.67,27.00
,UnKE,ALL,,,,,,,,,,,,
,,Animal,,,,,,,,,,,,
,,Emotion,,,,,,,,,,,,
,,Gender,,,,,,,,,,,,
,,Language,,,,,,,,,,,,
,I-IKE,ALL,25.00,15.08,25.17,9.50,10.58,87.07,95.83,88.00,89.17,75.50,81.17,37.08
,,Animal,12.67,12.11,11.33,10.67,14.33,89.25,94.67,89.00,93.33,80.00,81.67,37.67
,,Emotion,24.00,9.11,24.67,1.33,1.33,83.25,97.00,83.33,80.00,72.67,80.67,22.00
,,Gender,55.33,32.67,57.33,20.00,20.67,86.56,96.00,N/A,89.00,74.67,81.00,59.67
,,Language,8.00,6.44,7.33,6.00,6.00,89.08,95.67,91.67,94.33,74.67,81.33,29.00
,IE-IKE,ALL,58.83,58.36,58.25,58.25,58.58,40.42,34.50,19.11,60.92,41.83,76.67,40.67
,,Animal,38.33,41.11,42.00,38.33,43.00,39.67,37.33,20.00,53.33,48.00,78.00,41.00
,,Emotion,51.33,49.33,50.00,49.33,48.67,35.58,34.33,21.33,48.00,38.67,77.67,25.67
,,Gender,99.33,98.56,99.33,98.33,98.00,51.78,29.33,N/A,84.33,41.67,75.67,61.33
,,Language,46.33,44.44,41.67,47.00,44.67,37.50,37.00,16.00,58.00,39.00,75.33,34.67
,WISE,ALL,,,,,,,,,,,,
,,Animal,,,,,,,,,,,,
,,Emotion,,,,,,,,,,,,
,,Gender,,,,,,,,,,,,
,,Language,,,,,,,,,,,,
